,Scientific Name,Accepted Name,Jepson Common Name,Status,Jepson Link,CNPS Common Name,Family,Lifeform,CRPR,SRank,CESA,NatureServe Common Name,Species Group,NatureServe Global Rank,NatureServe Rounded Global Rank,U.S. Endangered Species Act Status,Distribution,View on NatureServe Explorer,searchName
104,Acer negundo var. californicum,Acer negundo,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11747,,,,,,,Box-elder,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, MB, NB, NS, NT, ON, PE, QC, SK, YT
United States: AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NN, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.157048/Acer_negundo,Acer negundo * californicum
105,Acer negundo var. interius,Acer negundo,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11747,,,,,,,Box-elder,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, MB, NB, NS, NT, ON, PE, QC, SK, YT
United States: AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NN, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.157048/Acer_negundo,Acer negundo * interius
106,Acer saccharinum,Acer saccharinum,Silver Maple,Naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11758,,,,,,,Silver Maple,Flowering Plants - Dicots,G5,G5,,"Canada: NB, NS, ON, QC, SK
United States: AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136917/Acer_saccharinum,Acer saccharinum
107,Achillea millefolium,Achillea millefolium,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=678,,,,,,,Common Yarrow,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT
United States: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NN, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134462/Achillea_millefolium,Achillea millefolium
108,Achillea borealis subsp. arenicola,Achillea millefolium,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=678,,,,,,,Common Yarrow,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT
United States: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NN, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134462/Achillea_millefolium,Achillea borealis * arenicola
109,Achillea borealis subsp. californica,Achillea millefolium,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=678,,,,,,,Common Yarrow,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT
United States: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NN, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134462/Achillea_millefolium,Achillea borealis * californica
110,Achillea lanulosa subsp. alpicola,Achillea millefolium,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=678,,,,,,,Common Yarrow,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT
United States: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NN, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134462/Achillea_millefolium,Achillea lanulosa * alpicola
111,Achillea lanulosa var. lanulosa,Achillea millefolium,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=678,,,,,,,Common Yarrow,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT
United States: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NN, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134462/Achillea_millefolium,Achillea lanulosa * lanulosa
112,Achillea millefolium subsp. lanulosa,Achillea millefolium,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=678,,,,,,,Common Yarrow,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT
United States: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NN, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134462/Achillea_millefolium,Achillea millefolium * lanulosa
113,Achillea millefolium var. alpicola,Achillea millefolium,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=678,,,,,,,Common Yarrow,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT
United States: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NN, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134462/Achillea_millefolium,Achillea millefolium * alpicola
114,Achillea millefolium var. arenicola,Achillea millefolium,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=678,,,,,,,Common Yarrow,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT
United States: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NN, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134462/Achillea_millefolium,Achillea millefolium * arenicola
115,Achillea millefolium var. borealis,Achillea millefolium,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=678,,,,,,,Common Yarrow,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT
United States: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NN, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134462/Achillea_millefolium,Achillea millefolium * borealis
116,Achillea millefolium var. californica,Achillea millefolium,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=678,,,,,,,Common Yarrow,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT
United States: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NN, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134462/Achillea_millefolium,Achillea millefolium * californica
117,Achillea millefolium var. gigantea,Achillea millefolium,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=678,,,,,,,Common Yarrow,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT
United States: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NN, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134462/Achillea_millefolium,Achillea millefolium * gigantea
118,Achillea millefolium var. littoralis,Achillea millefolium,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=678,,,,,,,Common Yarrow,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT
United States: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NN, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134462/Achillea_millefolium,Achillea millefolium * littoralis
119,Achillea millefolium var. pacifica,Achillea millefolium,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=678,,,,,,,Common Yarrow,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT
United States: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NN, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134462/Achillea_millefolium,Achillea millefolium * pacifica
120,Achillea millefolium var. puberula,Achillea millefolium,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=678,,,,,,,Common Yarrow,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT
United States: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NN, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134462/Achillea_millefolium,Achillea millefolium * puberula
121,Achlys californica,Achlys californica,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11785,,,,,,,Deer's-foot,Flowering Plants - Dicots,G4G5,G4,,"United States: CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137908/Achlys_californica,Achlys californica
123,Achyrachaena mollis,Achyrachaena mollis,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=703,,,,,,,Blow-wives,Flowering Plants - Dicots,G5,G5,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.148646/Achyrachaena_mollis,Achyrachaena mollis
124,Achyronychia cooperi,Achyronychia cooperi,"Onyx Flower, Frost-Mat",Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11813,,,,,,,Onyx-flower,Flowering Plants - Dicots,G5,G5,,"United States: AZ, CA, NV, UT",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.152136/Achyronychia_cooperi,Achyronychia cooperi
125,Acleisanthes longiflora,Acleisanthes longiflora,Angel Trumpets,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11823,angel trumpets,Nyctaginaceae,perennial herb,2B.3,S1,None,Angel Trumpets,Flowering Plants - Dicots,G5,G5,,"United States: AZ, CA, NM, TX",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.140551/Acleisanthes_longiflora,Acleisanthes longiflora
272,Acourtia microcephala,Acourtia microcephala,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=713,,,,,,,Sacapellote,Flowering Plants - Dicots,G3G4,G3,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159425/Acourtia_microcephala,Acourtia microcephala
273,Perezia microcephala,Acourtia microcephala,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=713,,,,,,,Sacapellote,Flowering Plants - Dicots,G3G4,G3,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159425/Acourtia_microcephala,Perezia microcephala
274,Actaea rubra,Actaea rubra,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11894,,,,,,,Red Baneberry,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT
United States: AK, AZ, CA, CO, CT, IA, ID, IL, IN, KS, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NM, NN, NV, NY, OH, OR, PA, RI, SD, UT, VT, WA, WI, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136260/Actaea_rubra,Actaea rubra
275,Actaea rubra subsp. arguta,Actaea rubra,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11894,,,,,,,Red Baneberry,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT
United States: AK, AZ, CA, CO, CT, IA, ID, IL, IN, KS, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NM, NN, NV, NY, OH, OR, PA, RI, SD, UT, VT, WA, WI, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136260/Actaea_rubra,Actaea rubra * arguta
276,Adenocaulon bicolor,Adenocaulon bicolor,Trail Plant,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=721,,,,,,,American Trailplant,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, ON
United States: CA, ID, MI, MT, ND, OR, SD, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.161230/Adenocaulon_bicolor,Adenocaulon bicolor
277,Adenophyllum cooperi,Adenophyllum cooperi,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=722,,,,,,,Cooper's Dogweed,Flowering Plants - Dicots,G4G5,G4,,"United States: AZ, CA, NV, UT",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.147838/Adenophyllum_cooperi,Adenophyllum cooperi
278,Dyssodia cooperi,Adenophyllum cooperi,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=722,,,,,,,Cooper's Dogweed,Flowering Plants - Dicots,G4G5,G4,,"United States: AZ, CA, NV, UT",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.147838/Adenophyllum_cooperi,Dyssodia cooperi
279,Adenophyllum porophylloides,Adenophyllum porophylloides,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=724,,,,,,,San Felipe Dogweed,Flowering Plants - Dicots,G5,G5,,"United States: AZ, CA, NV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159362/Adenophyllum_porophylloides,Adenophyllum porophylloides
280,Dyssodia porophylloides,Adenophyllum porophylloides,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=724,,,,,,,San Felipe Dogweed,Flowering Plants - Dicots,G5,G5,,"United States: AZ, CA, NV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159362/Adenophyllum_porophylloides,Dyssodia porophylloides
281,Adenostoma fasciculatum,Adenostoma fasciculatum,"Chamise, Greasewood",Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11939,,,,,,,Common Chamise,Flowering Plants - Dicots,G5,G5,,"United States: CA, NV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135300/Adenostoma_fasciculatum,Adenostoma fasciculatum
282,Adenostoma fasciculatum var. fasciculatum,Adenostoma fasciculatum var. fasciculatum,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=53568,,,,,,,Common Chamise,Flowering Plants - Dicots,G5T5,T5,,"United States: CA, NV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138407/Adenostoma_fasciculatum_var_fasciculatum,Adenostoma fasciculatum * fasciculatum
283,Adenostoma fasciculatum var. obtusifolium,Adenostoma fasciculatum var. obtusifolium,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=53569,,,,,,,Common Chamise,Flowering Plants - Dicots,G5T3T5,T4,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.144869/Adenostoma_fasciculatum_var_obtusifolium,Adenostoma fasciculatum * obtusifolium
285,Adenostoma sparsifolium,Adenostoma sparsifolium,"Red Shank, Ribbon Wood",Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11940,,,,,,,Ribbon-wood,Flowering Plants - Dicots,G4G5,G4,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.149415/Adenostoma_sparsifolium,Adenostoma sparsifolium
286,Adiantum aleuticum,Adiantum aleuticum,Five-Finger Fern,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11945,,,,,,,Aleutian Maidenhair Fern,Ferns and relatives - Leptosporangiate Ferns,G5?,G5,,"Canada: AB, BC, NF, QC
United States: AK, AZ, CA, CO, ID, MD, ME, MI, MT, NV, OR, UT, VT, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.151068/Adiantum_aleuticum,Adiantum aleuticum
287,Adiantum boreale,Adiantum aleuticum,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11945,,,,,,,Aleutian Maidenhair Fern,Ferns and relatives - Leptosporangiate Ferns,G5?,G5,,"Canada: AB, BC, NF, QC
United States: AK, AZ, CA, CO, ID, MD, ME, MI, MT, NV, OR, UT, VT, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.151068/Adiantum_aleuticum,Adiantum boreale
288,Adiantum pedatum subsp. calderi,Adiantum aleuticum,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11945,,,,,,,Aleutian Maidenhair Fern,Ferns and relatives - Leptosporangiate Ferns,G5?,G5,,"Canada: AB, BC, NF, QC
United States: AK, AZ, CA, CO, ID, MD, ME, MI, MT, NV, OR, UT, VT, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.151068/Adiantum_aleuticum,Adiantum pedatum * calderi
289,Adiantum pedatum var. aleuticum,Adiantum aleuticum,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11945,,,,,,,Aleutian Maidenhair Fern,Ferns and relatives - Leptosporangiate Ferns,G5?,G5,,"Canada: AB, BC, NF, QC
United States: AK, AZ, CA, CO, ID, MD, ME, MI, MT, NV, OR, UT, VT, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.151068/Adiantum_aleuticum,Adiantum pedatum * aleuticum
290,Adiantum pedatum var. subpumilum,Adiantum aleuticum,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11945,,,,,,,Aleutian Maidenhair Fern,Ferns and relatives - Leptosporangiate Ferns,G5?,G5,,"Canada: AB, BC, NF, QC
United States: AK, AZ, CA, CO, ID, MD, ME, MI, MT, NV, OR, UT, VT, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.151068/Adiantum_aleuticum,Adiantum pedatum * subpumilum
291,Adiantum capillus-veneris,Adiantum capillus-veneris,Southern Maidenhair,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11947,,,,,,,Southern Maidenhair Fern,Ferns and relatives - Leptosporangiate Ferns,G5,G5,,"Canada: BC
United States: AL, AR, AZ, CA, CO, FL, GA, HI, KY, LA, MD, MO, MS, NC, NM, NN, NV, OK, SC, SD, TN, TX, UT, VA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.158611/Adiantum_capillus-veneris,Adiantum capillus-veneris
292,Adiantum jordanii,Adiantum jordanii,California Maidenhair,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11955,,,,,,,Jordan's Maidenhair Fern,Ferns and relatives - Leptosporangiate Ferns,G4G5,G4,,"United States: CA, OR, RI",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135723/Adiantum_jordanii,Adiantum jordanii
293,Adiantum shastense,Adiantum shastense,Shasta Maidenhair,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=100476,Shasta maidenhair fern,Pteridaceae,perennial herb,4.3,S3,None,Shasta Maidenhair Fern,Ferns and relatives - Leptosporangiate Ferns,G3,G3,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.960320/Adiantum_shastense,Adiantum shastense
294,Adolphia infesta,Adolphia californica,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11984,,,,,,,California Adolphia,Flowering Plants - Dicots,G3,G3,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.132967/Adolphia_californica,Adolphia infesta
295,Adolphia californica,Adolphia californica,California Adolphia,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11984,California adolphia,Rhamnaceae,perennial deciduous shrub,2B.1,S2,None,California Adolphia,Flowering Plants - Dicots,G3,G3,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.132967/Adolphia_californica,Adolphia californica
296,Adonis aestivalis,Adonis aestivalis,Summer Pheasant'S Eye,Naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11986,,,,,,,Summer Adonis,Flowering Plants - Dicots,GNR,GNR,,"United States: CA, ID, MO, MT, NY, UT, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.144864/Adonis_aestivalis,Adonis aestivalis
298,Aegilops cylindrica,Aegilops cylindrica,Jointed Goat Grass,Naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11994,,,,,,,Jointed Goatgrass,Flowering Plants - Monocots,GNR,GNR,,"Canada: BC, ON
United States: AR, AZ, CA, CO, IA, ID, IL, IN, KS, KY, LA, MO, MT, NC, ND, NE, NM, NV, NY, OH, OK, OR, PA, SD, TN, TX, UT, VA, WA, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137935/Aegilops_cylindrica,Aegilops cylindrica
299,Aegilops ovata,Aegilops geniculata,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11995,,,,,,,Ovate Goatgrass,Flowering Plants - Monocots,GNR,GNR,,"United States: CA, NY, VA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.150100/Aegilops_geniculata,Aegilops ovata
